speaker;text
1;Hier ist dann dunkel. (lacht)
3;Ja, bei mir auch glaub. (6) (Husten) (4)
2;Ay, Achtung, jetzt aber.
3;Okay. Pascü?
1;Ja, ich bin hier.
2;Okay, Türe// links.
3;(unv. #00:00:47-1#)//
3;Ihr hört auch nichts, dass noch geschossen wird, oder?
1;Nein. (.) No/ Rechts.
2;Rechts // Türe sein lassen.
1;Von mir// (.)
2;Dann schauen wir weiter. Achtung. (..)
1;Polizei, Hände rauf! Macht die Hände rauf! (Geflüster) (4). Gut, da ist niemand / (..)
3;Geht auf die Seite. Geht auf die Seite.
2;Was wollen wir? Wie wollen wir?
3;Ich gehe hier rein. (4)
1;Links// haben wir noch die Türe.
3;(Gut?)
1;Links haben wir / Ja, das ist gut.
2;Links. (.)
3;Geht da mal ein bisschen zurück.
2;Wie wollen wir? Geh, komm, wir gehen von der gleichen Seite. Ja. (..)
1;Achtung!
3;Hörst du etwas, (unv.)? (.)
1;Polizei! Hände rauf! (4) Macht die Hände rauf! (...)
2;Achtung. (.)
1;Bei mir ist save!
2;Hände rauf! (..)
1;Bei mir ist save! Ich komme zurück. (..) Die Waffen// von denen habe ich genommen.
3;(unv.)//
1;Ich nehme die Waffe. (.)
2;Sehr gut.
1;Ich komme nach vorne. (.) Ich komme wieder vorbei.
3;Gut. Nach vorne!
2;Achtung, ich komme nach vorne.
3;Wir haben hier noch eine Türe. Nach vorne! (.)
2;Nach vorne.
3;Seid ihr hier? (...)
1;(unv.) gehst du nachher das Treppenhaus hinauf?
3;Ja, ich habe hier noch ein WC. Ist gut. (.) Treppenhaus.
1;Treppenhaus /
2;Draussen ist einer. (...)
3;Gut, Treppenhaus!
1;Komm nach vorne, da geht es nach draussen.
3;Treppenhaus ist zu. (...) Also es ist noch// jemand oben.
1;(Der gleiche?) mit dem Messer oben. Kannst nach oben, (unv. #00:02:18-1#)
3;Ja, jetzt müssen wir glaub hier warten, oder? (4) (Flüstern) (10)
1;(unv.) du hast auch mitbekommen, einer mit Messer.
3;Ja, habe ich mitbekommen. Gut.
2;Ja. Gehört.
1;Also ich gehe mal einfach voraus. Ihr kommt nach. (..)
3;Ja, wenn wir dann orten können, können wir zügig gehen.
1;Ja.
3;Und dann rechts, links in die Räume. (..)
1;Sind wir jetzt im ersten Stock? (.)
3;Ich glaube schon.
2;Keine Ahnung. Ich glaube schon, ja.
1;Gut.
2;Genau// Achtung, Türe.
3;Links // haben wir gerade eine Türe. (..)
2;Ich schaue// mache es auf.
3;Links// gerade auf.
1;Also warte. (..)
2;Sauber.
1;Polizei, Hände rauf! Kommt heraus, kommt heraus! (.) Kommt auf die Seite!
2;Kommt auf die Seite, kommt dorthin, kommt heraus.
3;Treppenhaus nach unten, Treppenhaus nach unten! Gut, rechts haben wir eine Türe!
2;Türe, rechts.// Ich gehe sie gleich aufmachen.
3;Gehst du rechts aufmachen.
1;Ist gut, ja. (4)
2;Sauber. (...) Gehen wir weiter. (..)
3;Wie sieht es aus? Links, rechts?
2;Rechts ist / Rechts ist gut.
1;Bei mir ist auch gut, ja. Du kannst /
2;Ich gehe in den Raum hineinschauen.
3;Ja. (.)
2;Hier ist sauber. (...)
3;Du kannst. (..)
3;(unv. #00:03:43-1#) gut. (..)
2;St / Hände rauf! Stopp, alle die Hände rauf! Hände rauf! (.) (Flüstern) Hinauskommen! Kommt hinaus! (5) Ist sauber. (.) Kommt ihr auch hinaus? Hände hinter den Rücken! Hände rauf halten! Hände rauf halten! (4) Ist gut.
3;Ist noch jemand drin?
2;Ist eine Frau drinnen, ja.
3;Gut, dann können wir aber// we/ wö/ verlaufen, ja.
2;Weiter// Super.
1;Also ich gehe weiter, ist gut? (...) Polizei, Hände rauf! Hände rauf! (...)
2;(lacht) (..)
1;Ist gut, save.
2;Ist gut.
3;Ist gut?
1;Ja. (..)
2;Achtung//
3;(unv.) 65. (4) Okay, im EG haben wir eine Person Schuss/ mit einer Schusswaffe neutralisiert, Waffe sichergestellt. Im ersten OG eine männliche Person neutralisiert nach Messerangriff auf die Polizei. (.) Messer ist sichergestellt. Bräuchte zwei Ambulanzen. Minimum. (Flüstern) (9) Okay. Habt ihr sonst noch Meldungen bekommen? Dass irgendwie noch mehr Leute im Gebäude sind? (..) Oben ist leer, oder? (Flüstern) (4) Okay.
2;Okay.
1;Ihr seid alle gut?
2;Ja. Alles gut.
3;Ja, bei mir ist gut. Wollen wir den fesseln? Und nachher schauen wir, ob es noch ein drittes OG gibt.
1;Ja, wir fesseln den. (.) Willst du?
3;(unv. #00:05:29-1#)?
1;Ich mache.
2;Ich glaube es. (5)
1;Geht nicht. (lacht) (.) Auch gut, merci. (..) Gut. (.) Dann gehen wir zum Lift oder// zum Treppenhaus.
2;Wieder nach unten, oder?//
3;Zur Treppe.
1;Zur Treppe.
2;Treppenhaus, oder? (..)
3;Dürfen wir in den dritten Stock? (..) Wenn es einen gibt.
